tle_0	tle_1	lat	lon	norad_cat_num	satellite_name	ownership	launch_date	satellite_decay	satellite_decay_hour	rcs
1 00023U 59009  B 89195.78596028  .02731772 +19637-1 +30065-2 0  9997	2 00023 050.2674 226.9734 0018343 032.5712 327.5638 16.13561323580506	7.410508508880068	-89.97500401211592	00023	JUNO II R/B             	US   	1959-10-13	1989-07-16	1989-07-17 12:00:00	  0.5778
1 00023U 59009  B 89195.78596028  .02731772 +19637-1 +30065-2 0  9997	2 00023 050.2674 226.9734 0018343 032.5712 327.5638 16.13561323580506	0.9375715296311878	-85.05325165847476	00023	JUNO II R/B             	US   	1959-10-13	1989-07-16	1989-07-17 12:02:00	  0.5778
1 00023U 59009  B 89195.78596028  .02731772 +19637-1 +30065-2 0  9997	2 00023 050.2674 226.9734 0018343 032.5712 327.5638 16.13561323580506	-11.970064468571902	-75.13423237972881	00023	JUNO II R/B             	US   	1959-10-13	1989-07-16	1989-07-17 12:06:00	  0.5778
1 00028U 60002  A 91183.48209206  .20810904 +57222-4 +14739-2 0  9993	2 00028 048.3426 203.3369 0003628 333.1829 026.9220 16.40114415676819	40.61722595619281	-164.42724200321896	00028	THOR ABLE R/B           	US   	1960-04-01	1991-07-03	1991-07-03 14:00:00	  1.6017
1 00028U 60002  A 91183.48209206  .20810904 +57222-4 +14739-2 0  9993	2 00028 048.3426 203.3369 0003628 333.1829 026.9220 16.40114415676819	36.15278891842986	-155.73641368064636	00028	THOR ABLE R/B           	US   	1960-04-01	1991-07-03	1991-07-03 14:02:00	  1.6017
1 00028U 60002  A 91183.48209206  .20810904 +57222-4 +14739-2 0  9993	2 00028 048.3426 203.3369 0003628 333.1829 026.9220 16.40114415676819	25.5137464653068	-141.32366268278727	00028	THOR ABLE R/B           	US   	1960-04-01	1991-07-03	1991-07-03 14:06:00	  1.6017
1 00060U 60014A   12087.77141234  .11240700  12162-4  82585-3 0  9996	2 00060 049.8769 297.0017 0014319 253.4265 106.9983 16.39420536586174	26.68840922895476	-86.2232289123521	00060	EXPLORER 8              	US   	1960-11-03	2012-03-28	2012-03-29 14:00:00	  0.4520
1 00060U 60014A   12087.77141234  .11240700  12162-4  82585-3 0  9996	2 00060 049.8769 297.0017 0014319 253.4265 106.9983 16.39420536586174	32.35539498519954	-79.5207847703861	00060	EXPLORER 8              	US   	1960-11-03	2012-03-28	2012-03-29 14:02:00	  0.4520
1 00060U 60014A   12087.77141234  .11240700  12162-4  82585-3 0  9996	2 00060 049.8769 297.0017 0014319 253.4265 106.9983 16.39420536586174	42.13233949902006	-63.113249704668114	00060	EXPLORER 8              	US   	1960-11-03	2012-03-28	2012-03-29 14:06:00	  0.4520
1 00062U 60014  B 85299.99371213  .22611759 +59541-4 +14030-2 0  9998	2 00062 049.8852 300.2652 0004622 342.1851 017.9663 16.41189261236970	37.507399845950985	68.1433220283565	00062	JUNO II R/B             	US   	1960-11-03	1985-10-27	1985-10-27 22:00:00	  0.6450
