tle_0	tle_1	norad_cat_num	status
1 00008U 58004  B 60095.16166626  .02607090 +00000-0 +00000-0 0  9993	2 00008 065.0599 163.5585 0088318 135.6760 224.6847 16.28328133100004	n_00008	
1 00017U 59004  B 61008.85131000  .00070225 +00000-0 +00000-0 0  9995	2 00017 047.1000 284.3200 7526400 171.0000 203.9657 02.00290678010078	n_00017	
1 00023U 59009  B 89195.78596028  .02731772 +19637-1 +30065-2 0  9997	2 00023 050.2674 226.9734 0018343 032.5712 327.5638 16.13561323580506	n_00023	
1 00028U 60002  A 91183.48209206  .20810904 +57222-4 +14739-2 0  9993	2 00028 048.3426 203.3369 0003628 333.1829 026.9220 16.40114415676819	n_00028	
1 00060U 60014A   12087.77141234  .11240700  12162-4  82585-3 0  9996	2 00060 049.8769 297.0017 0014319 253.4265 106.9983 16.39420536586174	n_00060	
1 00062U 60014  B 85299.99371213  .22611759 +59541-4 +14030-2 0  9998	2 00062 049.8852 300.2652 0004622 342.1851 017.9663 16.41189261236970	n_00062	
1 00063U 60016A   14137.84158636  .05029428  11996-4  29744-3 0  9998	2 00063 048.4363 277.0735 0002693 070.9689 289.2672 16.41566560916315	n_00063	
1 00064U 60016  B 81266.64980638  .07532016 +56009-4 +21805-2 0  9996	2 00064 048.4675 356.4796 0009546 002.9809 357.3240 16.26432176126830	n_00064	
1 00074U 60016  C 89127.00883376  .02098965 +49187-2 +22120-2 0  9995	2 00074 048.5374 350.7700 0009533 238.7285 120.9850 16.11032606545411	n_00074	
1 00075U 60016  D 90023.65502152  .03695442 +15733-4 +16800-2 0  9998	2 00075 048.5003 110.5790 0012245 332.5609 027.6347 16.20974718995668	n_00075	
1 00099U 60003  D 79186.84178960  .01646730 +24659-2 +98060-3 0  9992	2 00099 051.2611 217.5480 0004728 097.4296 263.3330 16.18346998058087	n_00099	
1 00101U 60002  C 83106.81622310  .09665547 +57417-4 +11294-2 0  9990	2 00101 048.4727 027.9990 0000398 270.9061 249.8269 16.35832332249187	n_00101	
